Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Henry King,Doctor,010 Morning False,110 Morning False,100 Night False,001 Evening False,111 Night False,111 Night True,111 Morning False,111 Night False,111 Morning False,101 Night False,100 Night True,111 Evening True,110 Morning False,100 Night False
Susan Jones,Doctor,111 Evening False,111 Evening False,111 Evening True,111 Night True,111 Night False,100 Night False,010 Morning False,111 Morning False,010 Morning False,111 Morning False,001 Evening False,111 Evening True,111 Night True,111 Night False
Elijah Smith,Doctor,111 Morning True,111 Night False,110 Morning False,100 Night True,100 Night False,101 Evening False,110 Night False,110 Night True,110 Morning True,110 Morning False,111 Evening False,101 Night False,001 Evening False,010 Morning False
Lucas White,Nurse,111 Morning False,010 Morning False,110 Morning False,111 Evening False,111 Evening False,100 Night True,110 Night False,001 Evening False,001 Evening False,111 Morning False,100 Night False,010 Morning True,110 Morning False,111 Morning True
James White,Admin,001 Evening True,011 Morning True,010 Morning True,010 Morning False,011 Morning True,111 Morning False,010 Morning True,111 Evening False,001 Evening False,100 Night False,110 Night False,101 Night False,111 Morning False,001 Evening False
Ava Hill,Doctor,101 Evening False,011 Morning False,011 Morning False,111 Evening False,111 Night False,101 Night False,011 Morning False,010 Morning True,100 Night False,111 Evening True,110 Night False,100 Night False,111 Night False,011 Evening True
Susan Smith,Nurse,001 Evening False,010 Morning False,111 Night False,100 Night True,100 Night False,001 Evening True,001 Evening False,010 Morning False,001 Evening False,111 Evening False,101 Evening False,110 Night False,110 Morning False,111 Morning True
Lisa Jackson,Doctor,101 Night False,011 Morning True,110 Night False,111 Night False,111 Night False,111 Night False,100 Night True,110 Morning False,111 Evening False,111 Evening False,111 Night False,111 Evening False,011 Evening False,011 Morning True
Emma Thompson,Nurse,100 Night False,111 Morning True,011 Morning False,110 Morning False,111 Morning False,111 Evening False,101 Evening True,011 Morning False,101 Night True,010 Morning False,001 Evening False,100 Night False,001 Evening False,110 Night False
Emma Allen,Admin,111 Evening True,111 Morning True,010 Morning True,101 Night False,101 Evening False,011 Evening True,111 Morning False,100 Night True,111 Morning False,001 Evening False,100 Night False,100 Night False,101 Evening False,111 Evening False
Ava Thompson,Nurse,111 Morning False,111 Evening False,111 Morning False,111 Evening False,101 Night False,101 Night False,110 Morning False,111 Morning False,110 Morning False,111 Morning False,011 Evening False,100 Night False,101 Evening False,111 Night False
Richard Young,Doctor,010 Morning True,010 Morning False,001 Evening False,111 Evening False,111 Morning False,001 Evening False,111 Night False,111 Morning False,100 Night True,001 Evening False,110 Night False,001 Evening False,010 Morning True,111 Evening True
Michael Moore,Doctor,111 Night False,111 Evening True,001 Evening True,110 Night True,010 Morning False,010 Morning False,111 Evening False,011 Evening False,011 Morning True,111 Night True,111 Night False,111 Evening False,111 Morning False,111 Evening True
Dorothy Wright,Doctor,111 Night True,011 Morning False,111 Night False,001 Evening False,110 Morning True,101 Evening False,010 Morning False,001 Evening False,111 Evening False,101 Evening True,111 Night True,111 Evening False,110 Night True,001 Evening False
David King,Admin,011 Morning True,111 Morning False,111 Morning True,111 Evening False,001 Evening False,111 Evening False,100 Night False,110 Night True,111 Morning True,001 Evening False,010 Morning False,101 Evening True,001 Evening False,110 Night False
Mia King,Admin,111 Morning False,001 Evening True,110 Night False,111 Morning False,101 Night False,101 Night False,110 Morning False,111 Evening False,111 Morning True,110 Night False,101 Night False,111 Evening False,011 Morning False,001 Evening False
